,CPI,trade_balance_perc_of_gdp,life_expectancy,inflation_annual_perc,gini_index,democracy_index,childmor_0_5_per_1000,cellphone_per_100,avrg_daily_income,gender_inequality_ind,press_freedom_index,political_stability,ethnic_div_index,linguistic_div_index,religious_div_index,rural_population_ratio,unemployment_perc_tot_labor,pop_percent_with_sanitation,undernourishment_prevalence_perc,population,fertility_rate
3367,61.0,-8.92,62.3,0.507,53.3,78.1,35.6,150.0,9.75,0.47,74.91,1.09520745277405,0.4102,0.411,0.5986,29.828,20.09,79.751686,22.1,2499705.0,2.6
3368,35.0,-0.644,75.8,4.22,53.4,68.6,13.9,95.4,21.1,0.395,67.21,-0.714393615722656,0.5408,0.0468,0.6054,13.176,12.05,89.2988,2.6,211782880.0,1.69
3370,43.0,3.23,73.3,5.24,41.3,70.3,6.76,115.0,27.4,0.205,64.89,0.56119829416275,0.4021,0.3031,0.5965,24.653,4.23,86.02459,3.0,7052536.0,1.6
3371,40.0,-3.43,61.7,1.62,35.1,40.4,74.0,97.2,4.41,0.585,75.47,-1.30215322971344,0.7377,0.7228,0.5798,70.02,4.693,21.340597,14.1,20951638.0,5.11
3373,58.0,-9.75,73.7,0.698,42.4,77.8,18.8,103.0,11.1,0.378,80.19,0.8595210313797,0.4174,0.0,0.0766,33.805,12.207,77.47483,14.5,577037.0,2.24
3374,20.0,-1.37,69.9,3.24,40.2,35.3,27.0,132.0,5.83,0.464,54.1,-0.0755313858389854,0.2105,0.2104,0.0965,76.195,0.146,65.609825,6.0,16207746.0,2.47
3375,25.0,-3.68,63.4,1.17,46.7,28.5,73.9,83.0,6.12,0.57,56.68,-1.56176483631134,0.8635,0.8898,0.7338,43.032,3.629,44.218388,6.7,25782342.0,4.51
3376,77.0,-1.47,82.2,1.57,33.3,92.2,4.94,91.6,65.7,0.069,84.31,0.994817912578583,0.7124,0.5772,0.6958,18.518,5.66,99.032684,2.5,37522584.0,1.56
3377,25.0,-18.6,52.4,2.33,56.7,13.2,113.0,30.6,2.35,0.69,52.73,-2.13577795028687,0.8295,0.8334,0.7916,58.23,5.755,14.481982,49.2,5209329.0,4.65
3378,20.0,-1.09,60.4,2.86,43.4,16.1,117.0,47.5,3.81,0.69,63.29,-1.35040700435638,0.862,0.8635,0.6411,76.721,1.12,11.8170805,31.7,16126868.0,5.65
